Date,Open,High,Low,Close,Volume
2015/1/2 下午 4:00:00,206.38,206.88,204.18,205.43,121465865
2015/1/5 下午 4:00:00,204.17,204.37,201.35,201.72,169632646
2015/1/6 下午 4:00:00,202.09,202.72,198.86,199.82,209151408
2015/1/7 下午 4:00:00,201.42,202.72,200.88,202.31,125346709
2015/1/8 下午 4:00:00,204.01,206.16,203.99,205.9,147217784
2015/1/9 下午 4:00:00,206.4,206.42,203.51,204.25,158567288
2015/1/12 下午 4:00:00,204.41,204.6,201.92,202.65,144396067
2015/1/13 下午 4:00:00,204.12,205.48,200.51,202.08,214553306
2015/1/14 下午 4:00:00,199.65,201.1,198.57,200.86,192991092
2015/1/15 下午 4:00:00,201.63,202.01,198.88,199.02,176613906
2015/1/16 下午 4:00:00,198.77,201.82,198.55,201.63,211879605
2015/1/20 下午 4:00:00,202.4,202.72,200.17,202.06,130991069
2015/1/21 下午 4:00:00,201.5,203.66,200.94,203.08,122942707
2015/1/22 下午 4:00:00,203.99,206.26,202.33,206.1,174356029
2015/1/23 下午 4:00:00,205.79,206.1,204.81,204.97,117516753
2015/1/26 下午 4:00:00,204.71,205.56,203.85,205.45,92009711
2015/1/27 下午 4:00:00,202.97,204.12,201.74,202.74,134044598
2015/1/28 下午 4:00:00,204.17,204.29,199.91,200.14,168514312
2015/1/29 下午 4:00:00,200.38,202.3,198.68,201.99,173585424
2015/1/30 下午 4:00:00,200.57,202.17,199.13,199.45,197729724
2015/2/2 下午 4:00:00,200.05,202.03,197.86,201.92,163106969
2015/2/3 下午 4:00:00,203,204.85,202.55,204.84,124212881
2015/2/4 下午 4:00:00,203.92,205.38,203.51,204.06,134306728
2015/2/5 下午 4:00:00,204.86,206.3,204.77,206.12,97953181
2015/2/6 下午 4:00:00,206.56,207.24,204.92,205.55,125672026
2015/2/9 下午 4:00:00,204.77,205.64,204.14,204.63,87219016
2015/2/10 下午 4:00:00,205.88,207.12,204.68,206.81,96164183
2015/2/11 下午 4:00:00,206.61,207.45,205.83,206.93,91087785
2015/2/12 下午 4:00:00,207.89,208.99,206.97,208.92,97545949
2015/2/13 下午 4:00:00,209.07,209.84,208.76,209.78,93670430
2015/2/17 下午 4:00:00,209.4,210.32,209.1,210.11,76968199
2015/2/18 下午 4:00:00,209.66,210.22,209.34,210.13,80652941
2015/2/19 下午 4:00:00,209.41,210.42,209.24,209.98,91462491
2015/2/20 下午 4:00:00,209.48,211.33,208.73,211.24,140896392
2015/2/23 下午 4:00:00,210.94,211.21,210.48,211.21,74411054
2015/2/24 下午 4:00:00,211.12,212.05,210.76,211.81,72472263
2015/2/25 下午 4:00:00,211.66,212.24,211.22,211.63,73061687
2015/2/26 下午 4:00:00,211.52,211.71,210.65,211.38,72697868
2015/2/27 下午 4:00:00,211.26,211.58,210.6,210.66,108075972
2015/3/2 下午 4:00:00,210.78,212.06,210.72,211.99,87491428
2015/3/3 下午 4:00:00,211.47,212.05,210.08,211.12,110325809
2015/3/4 下午 4:00:00,210.4,210.49,209.06,210.23,114497192
2015/3/5 下午 4:00:00,210.62,210.8,209.85,210.46,76872957
2015/3/6 下午 4:00:00,209.42,209.94,207.1,207.5,188127982
2015/3/9 下午 4:00:00,207.74,208.79,207.55,208.36,89818893
2015/3/10 下午 4:00:00,206.71,206.81,204.93,204.98,157121263
2015/3/11 下午 4:00:00,205.29,205.5,204.4,204.5,110145718
2015/3/12 下午 4:00:00,205.26,207.18,205.2,207.1,93993523
2015/3/13 下午 4:00:00,206.77,207.93,204.58,205.83,162410893
2015/3/16 下午 4:00:00,206.71,208.69,205.86,208.58,136099192
2015/3/17 下午 4:00:00,207.69,208.42,206.98,207.96,94510422
2015/3/18 下午 4:00:00,207.39,211.27,206.62,210.46,228808524
2015/3/19 下午 4:00:00,209.96,210.47,209.03,209.5,117917302
2015/3/20 下午 4:00:00,209.71,211.02,209.49,210.41,177715081
2015/3/23 下午 4:00:00,210.42,211.11,210,210,71784536
2015/3/24 下午 4:00:00,209.85,210.4,208.74,208.82,77805321
2015/3/25 下午 4:00:00,209.07,209.35,205.71,205.76,159521708
2015/3/26 下午 4:00:00,204.96,206.37,204.12,205.27,153067241
2015/3/27 下午 4:00:00,205.13,205.95,204.9,205.74,118938966
2015/3/30 下午 4:00:00,207.39,208.61,206.96,208.25,96101565
